smiles,mol_id,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,LogP,HBD,HBA,TPSA
Cc1ccc2c(c1)CCCN2,TOX27444,0,0,1,0,0,0,0,0,0,0,0,0,147.221,2.35312,1,1,12.03
CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]1(C)OCC[C@H]21,TOX27113,0,0,0,0,0,0,0,0,0,0,1,0,236.399,4.408,0,1,9.23
O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,TOX27446,0,0,0,1,,0,0,1,0,0,0,0,388.851,2.7919,0,5,51.24
NNC(=O)OCc1ccccc1,TOX27447,0,0,1,,0,0,0,0,0,0,0,0,166.18,0.7865,2,3,64.35
CC(C)c1ccc(C#N)cc1,TOX27440,0,0,0,0,0,0,0,0,0,0,0,0,145.205,2.68168,0,1,23.79
Cl[Yb](Cl)Cl,TOX27117,0,0,0,0,0,0,0,0,0,0,0,0,279.399,2.0685,0,0,0
COc1cc(C)cc(O)c1,TOX27443,0,0,,0,0,0,0,0,0,0,0,0,138.166,1.70922,1,2,29.46
C=CC(=O)OCCCCCCOC(=O)C=C,TOX5401,0,1,0,,0,,1,1,1,1,0,1,226.272,2.0052,0,4,52.6
C=CC(C)(C)CC(=O)OC,TOX8120,0,0,0,0,0,0,0,0,0,0,0,0,142.198,1.7617,0,2,26.3
CCCCCCOC(=O)c1ccccc1,TOX5403,0,0,0,0,0,0,0,0,0,0,0,0,206.285,3.4237,0,2,26.3
C=CCCCC,TOX5402,,,,0,,0,0,0,0,0,0,0,84.162,2.3626,0,0,0
CCCCCCc1ccc(-c2ccc(C#N)cc2)cc1,TOX5404,0,0,0,0,0,0,0,0,0,0,1,0,263.384,5.34808,0,1,23.79
C=C(C)C(=O)OCCCCCC,TOX5406,0,0,0,0,0,0,0,0,0,0,0,0,170.252,2.686,0,2,26.3
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3,TOX5409,0,0,,0,0,0,0,0,0,0,,0,383.4,2.8732,0,7,66.46
O=[N+]([O-])c1ccccc1-c1ccccc1,TOX5746,0,0,0,0,,0,0,0,0,0,0,0,199.209,3.2618,0,2,43.14
N=C(N)N.N=C(N)N.O=C(O)O,TOX9189,0,0,0,0,0,0,0,0,0,0,0,0,180.168,-2.10046,8,3,209.31
O=[N+]([O-])c1ccccc1CCl,TOX5744,0,0,0,0,0,0,1,1,0,0,0,0,171.583,2.3336,0,2,43.14
O=[N+]([O-])c1ccc(CCl)cc1,TOX5745,0,0,0,0,0,0,0,,0,0,0,0,171.583,2.3336,0,2,43.14
O=C(Cl)c1ccc([N+](=O)[O-])cc1,TOX5742,,0,0,0,0,0,0,0,0,0,0,0,185.566,1.9738,0,3,60.21
O=[N+]([O-])c1cccc(CCl)c1,TOX5743,0,0,0,0,0,0,0,1,0,0,0,0,171.583,2.3336,0,2,43.14
O=C(Cl)c1cccc([N+](=O)[O-])c1,TOX5740,0,0,0,0,0,0,0,0,0,0,0,0,185.566,1.9738,0,3,60.21
O=C(Cl)c1ccccc1[N+](=O)[O-],TOX5741,0,0,,0,0,0,0,0,0,0,0,0,185.566,1.9738,0,3,60.21
CC(C)CC(=O)O,TOX9182,0,0,0,0,0,0,0,,0,0,0,0,102.133,1.1171,1,1,37.3
Nc1ccc(S(=O)(=O)[O-])cc1,TOX9184,0,0,0,0,1,0,0,0,0,0,0,0,172.185,0.1729,1,4,83.22
Cc1nc(N)nc(N)n1,TOX9186,,,0,0,0,0,0,0,0,0,0,0,125.135,-0.65558,2,5,90.71
O=[N+]([O-])c1ccccc1Nc1ccccc1,TOX5749,0,0,,,0,0,0,0,0,0,0,0,214.224,3.3384,1,3,55.17
CCCCCCCCCCCCCCCCC(=O)O,TOX1596,0,0,0,0,0,0,0,0,0,0,0,0,270.457,5.9424,1,1,37.3
NS(=O)(=O)O,TOX14005,0,0,0,0,0,0,0,0,0,0,0,0,97.095,-1.2521,2,2,80.39
[PbH2+2],TOX11521,0,0,0,0,0,0,0,1,0,0,0,0,209.216,-0.9162,0,0,0
CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1,TOX31548,,,,,,,,0,,0,,,327.424,3.0715,0,4,38.77
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,TOX18,0,0,1,,1,0,0,1,1,0,1,0,223.275,3.2162,1,1,29.1
O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,TOX9233,0,0,0,0,0,0,0,0,0,0,0,0,322.228,1.5388,0,7,103.81
CC(C)(C)N(CCO)CCO,TOX9230,0,0,0,,0,0,0,0,0,0,0,0,161.245,0.0715,2,3,43.7
CC(CO)CO,TOX9231,0,0,0,0,0,0,0,0,0,0,0,0,90.122,-0.3929,2,2,40.46
C=C(C)C(=O)OCCCCCCCCCCCCC,TOX9236,1,,0,0,0,0,0,0,0,0,0,0,268.441,5.4167,0,2,26.3
C=C(C)C(=O)OCCC[Si](OC)(OC)OC,TOX9237,0,0,0,0,0,0,0,0,0,0,0,0,248.351,1.3739,0,5,53.99
C=CC(C)CCC=C(C)C,TOX9234,0,0,0,0,0,0,0,0,0,0,0,0,138.254,3.5549,0,0,0
C=CCCCCCCCCCCC,TOX9235,0,0,0,0,0,0,0,0,0,0,0,0,182.351,5.0933,0,0,0
CCCCN(CCCC)C(C(N)=O)c1ccc(OC)cc1,TOX31549,,,,,,,,0,,0,,,292.423,3.1238,1,3,55.56
OCC(S)CS,TOX20461,0,,0,0,0,0,,,0,,0,,124.23,0.2069,3,3,20.23
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,TOX20464,0,,0,0,0,0,,0,0,0,1,1,807.89,3.2596,5,14,224.45
CCCN(CCC)CCc1c[nH]c2ccccc12,TOX28823,0,0,0,0,0,0,0,0,0,0,,0,244.382,3.8324,1,1,19.03
CN(C)CCc1c[nH]c2ccccc12,TOX28822,0,0,0,0,0,0,0,0,0,,0,0,188.274,2.272,1,1,19.03
CCN(CC)CCc1c[nH]c2ccccc12.CCN(CC)CCc1c[nH]c2ccccc12,TOX28821,0,0,0,0,0,0,0,0,0,1,0,0,432.656,6.1044,2,2,38.06
CCCCc1cc2c(=O)c(C(=O)OC)c[nH]c2cc1OCc1ccccc1,TOX28536,0,0,0,0,0,0,0,,0,,0,0,365.429,4.2363,1,4,68.39
NC1(c2ccccc2)CCCCC1,TOX28827,0,0,0,,0,0,,0,0,0,,0,175.275,2.8047,1,1,26.02
COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,TOX28826,0,0,,0,0,0,0,0,0,,0,0,274.408,3.8378,1,2,28.26
O=C1O[C@@H]2[C@@H](O)[C@H](O)O[C@@H]2[C@H]1O,TOX21844,0,0,0,0,0,0,0,0,0,0,,0,176.124,-2.6492,3,6,96.22
CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,TOX28824,0,0,0,0,0,0,0,0,0,0,0,0,284.252,1.7435,3,3,85.79
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,TOX28829,0,0,0,0,0,0,0,,0,,0,0,303.358,1.8677,0,5,55.84
c1ccc(CN2CCNCC2)cc1,TOX28828,0,0,0,0,0,0,0,0,0,,0,0,176.263,1.0918,1,2,15.27
Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCCN[C@@H](C)c3ccccc3)cs2)cs1)C(C)O)C(O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1,TOX28539,0,0,0,0,0,0,,,0,,0,1,1473.614,-6.23068,21,32,639.1
CC(CN(C)C)CN1c2ccccc2S(=O)(=O)c2ccccc21,TOX28538,0,0,0,0,0,0,0,,0,,0,0,330.453,3.1686,0,4,40.62
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,TOX25165,0,0,0,,,0,,0,0,0,0,0,477.048,5.088,1,3,43.78
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,TOX25164,0,0,0,0,0,0,0,0,0,0,0,0,246.306,2.7864,1,2,54.37
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,TOX25167,0,0,0,0,0,0,0,0,0,0,0,0,365.842,2.71412,2,4,92.5
CCN(CC)CC(=O)Nc1c(C)cccc1C,TOX25166,0,0,0,0,0,0,0,0,0,0,0,0,234.343,2.58374,1,2,32.34
c1ccc2c(c1)OCC(C1=NCCN1)O2,TOX25161,0,0,0,,,0,,1,0,1,1,0,204.229,0.8281,1,4,42.85
O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1,TOX25160,0,0,1,1,0,0,0,,0,,0,0,240.266,1.4864,1,4,59.28
O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1,TOX25163,0,0,0,0,0,0,0,0,0,0,0,0,391.474,4.8781,0,3,46.09
CCn1ccnc1CC1COc2ccccc2O1,TOX25162,0,0,0,0,0,0,0,0,0,0,0,0,244.294,2.2855,0,4,36.28
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,TOX25169,0,0,0,0,0,0,0,0,0,0,0,0,299.802,2.0024,2,4,67.59
Cc1ccccc1CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,TOX25168,0,0,0,1,0,,,,,,0,0,371.397,0.35832,4,9,125.55
COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)[O-])cc3c(c12)OCO3,TOX99,0,,,,,0,,1,0,0,1,1,340.267,2.002,0,7,110.96
COc1ccccc1N,TOX92,0,0,1,0,0,0,0,0,0,0,0,0,123.155,1.2774,1,2,35.25
Nc1ccccc1,TOX91,0,0,1,0,0,0,0,0,0,0,0,0,93.129,1.2688,1,1,26.02
CC(COc1ccc(C(C)(C)C)cc1)OS(=O)OCCCl,TOX97,0,0,0,0,0,0,0,0,0,0,0,0,334.865,3.6021,0,4,44.76
O=C([O-])C1O[Sb]2OC(=O)C(O2)C(C(=O)[O-])O[Sb]2OC(=O)C1O2,TOX96,0,,,,,0,,1,0,1,0,1,535.628,-5.876,0,12,169.78
O=C1c2ccccc2C(=O)c2ccccc21,TOX95,0,0,0,0,,0,0,0,0,0,1,0,208.216,2.462,0,2,34.14
Nc1ccccc1C(=O)O,TOX94,0,0,0,0,0,0,0,0,0,0,0,0,137.138,0.967,2,2,63.32
C=CCC1([C@H](C)CCC)C(=O)NC(=O)NC1=O,TOX28799,0,0,0,0,0,0,0,0,0,0,0,0,238.287,1.3511,2,3,75.27
CCN[C@H](C)Cc1cccc(C(F)(F)F)c1,TOX28798,0,0,0,0,0,0,0,0,0,0,0,0,231.261,3.2459,1,1,12.03
CN[C@H](C)Cc1ccccc1,TOX28791,0,0,,0,0,0,0,,0,,0,0,149.237,1.837,1,1,12.03
CN[C@@H](C)Cc1ccccc1,TOX28790,0,0,0,0,0,0,0,,0,,0,0,149.237,1.837,1,1,12.03
C[C@@H](N)C(=O)c1ccccc1,TOX28793,0,0,0,0,0,0,0,,0,,0,0,149.193,1.2165,1,2,43.09
C[C@H](N)C(=O)c1ccccc1,TOX28792,0,0,0,0,0,0,0,0,0,0,0,0,149.193,1.2165,1,2,43.09
CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C,TOX28795,0,0,0,0,0,0,0,0,0,0,0,0,341.415,0.6545,1,7,73.85
CCN[C@@H](C)Cc1ccccc1,TOX28794,0,0,0,0,0,0,0,0,0,0,0,0,163.264,2.2271,1,1,12.03
CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,TOX28797,0,0,0,0,0,0,0,0,0,0,0,0,231.261,3.2459,1,1,12.03
C[C@H]1N=C(N)O[C@H]1c1ccccc1,TOX28796,0,0,0,,0,0,0,0,0,0,0,0,176.219,1.4611,1,3,47.61
C=CCOC(C)=O,TOX4437,0,0,0,0,0,0,0,0,0,0,,0,100.117,0.7355,0,2,26.3
CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,TOX1156,0,0,0,0,0,0,0,0,0,0,0,0,299.691,2.7426,0,5,65.07
Oc1ccc(-c2ccccc2)cc1,TOX1152,0,0,0,,1,1,0,1,1,0,,0,170.211,3.0592,1,1,20.23
Oc1ccccc1-c1ccccc1,TOX1151,0,0,0,0,0,0,0,0,0,0,1,0,170.211,3.0592,1,1,20.23
CC(=O)O[Hg]c1ccccc1,TOX1150,0,1,,,,1,1,1,,1,,1,336.74,0.8725,0,2,26.3
O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,TOX1409,0,1,,,,1,,,1,1,1,,367.036,1.6458,1,1,20.23
CCCOC(=O)CCCCC(=O)OCCC,TOX24511,0,0,0,0,0,0,0,0,0,0,0,0,230.304,2.4532,0,4,52.6
O=C1OC(=O)c2ccccc21,TOX1159,,0,0,,0,0,0,0,0,0,0,0,148.117,0.9972,0,3,43.37
NC(=O)c1ccccc1C(N)=O,TOX1158,0,0,,0,0,0,0,,0,0,,0,164.164,-0.1156,2,2,86.18
CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,TOX2174,0,0,1,0,1,0,0,0,0,0,,0,323.31,3.6451,0,5,61.6
NC(=O)c1c(Cl)cccc1Cl,TOX2170,0,0,,0,0,0,0,0,0,0,,0,190.029,2.0923,1,1,43.09
CCCCCCCCCCN,TOX2171,0,0,0,0,0,0,0,0,0,0,0,0,157.301,3.0858,1,1,26.02
CNC(=O)Oc1ccc(N(C)C)c(C)c1,TOX2172,0,0,0,0,,0,0,1,0,0,0,0,208.261,1.77922,1,3,41.57
Clc1nc(Cl)c(Cl)c(Cl)c1Cl,TOX2179,0,0,0,0,0,0,0,1,1,0,0,0,251.327,4.3486,0,1,12.89
CCCCCCOC(=O)c1ccc(O)cc1,TOX24514,0,0,0,,1,1,0,,1,0,1,0,222.284,3.1293,1,3,46.53
NC[C@H](O)c1ccc(O)c(O)c1,TOX3378,0,0,,0,0,0,0,0,0,0,0,0,169.18,0.0899,4,4,86.71
O=C(c1ccccc1)C1(O)CCCCC1,TOX24748,0,0,0,0,0,0,0,0,0,0,0,0,204.269,2.5645,1,2,37.3
CC(C)OC(=O)c1ccccc1,TOX24746,0,0,0,0,0,0,0,0,0,0,0,0,164.204,2.2518,0,2,26.3
CCCCNP(N)(N)=S,TOX24747,0,0,0,0,,0,0,0,0,0,0,0,167.218,0.518,3,1,64.07
CN1Cc2c(N)cccc2C(c2ccccc2)C1,TOX25790,0,0,0,0,0,0,0,0,0,0,0,0,238.334,2.8461,1,2,29.26
CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,TOX3376,0,0,0,0,0,0,0,0,0,0,0,0,331.467,1.3225,2,8,83.33
CN/C=N/c1ccc(C)cc1C,TOX17696,0,0,0,0,0,0,0,0,0,0,0,0,162.236,2.18264,1,1,24.39
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,TOX3370,0,0,1,0,0,0,0,,0,0,,0,418.446,2.9708,1,8,117
CC(C)OC(=O)CCC(=O)OC(C)C,TOX24740,0,0,0,0,0,0,0,0,0,0,0,0,202.25,1.6698,0,4,52.6
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,TOX3372,0,0,0,0,0,0,0,0,0,0,0,0,281.271,2.3843,1,4,84.6
CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,TOX23915,,0,0,,,0,0,1,0,1,1,0,428.613,5.9696,0,4,60.44
Fc1cccc(Cl)c1CCl,TOX18855,0,0,0,0,0,0,0,1,0,0,,0,179.021,3.2179,0,0,0
COC(=O)N/N=C/c1c[n+]([O-])c2ccccc2[n+]1[O-],TOX23913,,,,,,,,0,,0,,,262.225,-0.2035,1,5,104.57
CSc1ccc(C(=O)C(C)(C)N2CCOCC2)cc1,TOX18857,0,0,0,0,1,1,0,0,0,0,0,0,279.405,2.702,0,4,29.54
OC[C@H](O)[C@H](O)CO,TOX23919,0,0,0,0,0,0,0,0,0,0,0,0,122.12,-2.3072,4,4,80.92
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,TOX12180,0,0,0,0,0,0,0,0,0,0,,0,360.882,7.274,0,0,0
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,TOX365,0,,0,0,0,0,,1,0,0,,0,1202.635,3.269,5,12,278.8
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,TOX366,1,1,0,0,0,0,0,1,0,0,,0,416.945,4.6076,0,4,60.44
N[C@@H](CS)C(=O)O,TOX367,0,0,,0,0,0,0,0,0,0,,0,121.161,-0.6719,3,3,63.32
c1ccc2sc(SNC3CCCCC3)nc2c1,TOX360,0,0,1,,,0,0,1,0,1,1,0,264.419,4.2257,1,4,24.92
NC1CCCCC1,TOX3996,0,0,0,0,0,0,0,0,0,0,0,0,99.177,1.2778,1,1,26.02
ON=C1CCCC1,TOX363,0,0,0,0,0,0,0,0,0,0,0,0,99.133,1.3906,1,2,32.59
COc1ccc(C(=O)/C(Br)=C\C(=O)[O-])cc1,TOX368,0,1,0,,0,0,1,1,1,,0,1,284.085,0.9066,0,4,66.43
CN(C)N=Nc1nc[nH]c1C(N)=O,TOX369,0,0,0,0,0,0,0,0,0,0,0,0,182.187,0.0689,2,4,99.73
CC(C)(O)C(Cl)(Cl)Cl,TOX21217,,,,,,,,0,,0,,,177.458,2.1275,1,1,20.23
O=c1[nH]c2ccccc2c(=O)n1CCCl,TOX31546,,,,,,,,0,,0,,,224.647,0.9286,1,3,54.86
CC1=CCC(C(C)C)=CC1,TOX21210,0,0,0,0,0,0,0,0,0,0,0,0,136.238,3.3089,0,0,0
CCC(C)CCCC(C)(C)O,TOX24810,0,0,0,0,1,0,0,0,0,0,,0,158.285,2.9737,1,1,20.23
Cc1cc(Cl)ccc1/N=C/N(C)C,TOX24811,0,0,0,0,0,0,0,0,0,0,0,0,196.681,2.86982,0,1,15.6
CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,TOX24758,0,,1,1,0,0,,0,0,0,1,0,410.465,3.2934,2,5,85.52
CC1C2CC(CC2C2CCCC(O)C2)C1(C)C,TOX24817,0,0,0,,1,1,0,,0,,1,,236.399,3.8558,1,1,20.23
Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1,TOX26630,0,0,0,0,1,0,0,,0,,0,0,612.65,0.32672,5,13,212.76
CCOC(CN1CCN(CC(C)C(=O)c2ccccc2)CC1)c1ccccc1,TOX26631,0,0,0,,0,0,0,1,0,0,0,0,380.532,3.9008,0,4,32.78
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,TOX24226,0,,0,0,0,0,0,0,0,0,,0,314.366,2.96442,1,4,86.19
CCCSSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N,TOX26633,0,0,0,,0,0,,0,0,0,0,0,356.517,2.73092,2,7,92.34
CCOc1cc(OCC)c(C(=O)CCC(=O)O)cc1OCC,TOX26634,0,,0,0,0,0,,1,0,0,,0,310.346,2.9302,1,5,82.06
NNC(=O)CP(=O)(c1ccccc1)c1ccccc1,TOX26188,0,0,0,0,0,0,0,0,0,0,,0,274.26,0.9904,2,3,72.19
CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1,TOX26189,0,0,0,0,0,0,0,,0,,0,0,284.319,1.0249,2,4,83.98
O=C(CCCN1CCN2CCCC2C1)c1ccc(F)cc1,TOX26186,0,0,,0,0,0,0,,0,,0,0,290.382,2.5686,0,3,23.55
OC(c1ccccc1)(c1ccccc1)C1CN2CCC1CC2,TOX26187,1,0,0,0,0,0,0,,0,,0,0,293.41,3.2643,1,2,23.47
COc1ccc(/C=N\NC(=O)c2ccncc2)c(C(=O)O)c1OC,TOX26185,0,0,1,0,0,0,0,,0,,0,0,329.312,1.5609,2,6,110.11
CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,TOX26182,0,0,1,,1,0,0,,0,,0,0,293.436,3.0829,0,5,28.6
CCN(CC)CCC(=O)N1c2ccccc2Sc2ccc(Cl)cc21,TOX26183,0,0,0,,,0,0,,0,,,0,360.91,5.2012,0,3,23.55
CN1CCN(CCC(=O)N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,TOX26180,0,0,0,0,0,0,0,,0,0,,0,421.488,4.4722,0,4,26.79
CCN(CC)CCOc1ccccc1C(=O)CCc1ccccc1,TOX26181,0,0,0,0,0,0,0,0,0,0,,0,325.452,4.2227,0,3,29.54
Cc1nc(-c2ccc3c(c2)CCN(CCC2CCC(NC(=O)/C=C/c4ccc(F)cc4)CC2)CC3)no1,TOX27325,0,1,0,0,,1,,,1,1,0,1,502.634,5.36322,1,5,71.26
OCC(CO)n1cnc(-c2ccc(F)cc2)c1-c1ccnc(Oc2ccccc2)n1,TOX27324,0,0,0,,0,0,0,,0,0,,0,406.417,3.4642,2,7,93.29
CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2C[C@H](N(C)[C@@H](C(=O)O)C(C)C)C[C@@H]2c2cccc(F)c2)CC1,TOX27327,0,0,0,0,0,0,,0,0,0,,0,574.785,6.4157,1,5,61.6
CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)cc2C)cc1)CC3,TOX27320,0,,,,,0,,,,,1,,534.66,5.96924,0,6,71.7
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,TOX27322,0,0,0,,,0,,1,,0,1,0,428.414,5.49914,1,4,67.35
NC(=O)c1nc(-c2cccc(-c3cc(F)ccc3OCC(F)(F)C(F)(F)F)c2)n[n-]1,TOX27328,0,0,0,,,0,,1,,,,,429.3,3.5822,1,4,92.2
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,TOX20676,0,0,0,0,0,0,0,1,0,0,0,0,445.545,2.07812,3,6,130.15
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,TOX20674,1,0,0,,0,0,0,0,0,0,0,0,452.494,2.3668,2,6,93.06
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,TOX20675,0,,0,0,0,0,,,0,0,,0,490.626,3.074,3,5,124.68
COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,TOX20672,0,1,1,,1,,0,,1,,1,1,299.355,3.8924,2,4,67.01
COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,TOX20678,0,,0,,,0,,0,,0,,1,338.444,3.4623,1,5,72.83
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,TOX20679,0,0,1,,1,0,0,1,1,0,,0,280.323,4.2472,0,3,39.44
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,TOX26454,1,0,1,1,0,0,,1,0,0,,0,393.443,3.4051,1,7,74.73
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,TOX26455,0,0,0,0,0,0,0,,0,,0,0,812.018,4.9292,1,14,171.85
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,TOX26456,0,,0,,0,0,,1,,0,1,0,628.814,4.32814,4,5,120
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,TOX26457,0,0,0,0,0,0,0,0,0,0,0,0,358.85,4.17592,0,4,59.92
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,TOX26450,0,,1,,,0,,0,1,0,1,,585.189,7.6133,1,5,73.25
CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,TOX26451,0,0,0,0,0,0,0,0,0,0,0,0,359.354,0.7602,3,8,122.91
C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F,TOX26452,1,0,0,0,,0,0,,0,,,0,528.537,6.5761,2,2,58.2
Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,TOX26453,0,,,0,0,0,,,0,,1,,463.796,5.93862,1,4,50.16
C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,TOX26458,,,,,,,,,,0,,,440.411,5.182,1,3,49.77
NC[C@H]1CC[C@H](C(=O)Oc2ccc(CCC(=O)O)cc2)CC1,TOX26459,0,0,0,1,,0,0,0,0,0,0,0,305.374,2.3743,2,4,89.62
NC(CS)C(=O)O,TOX26988,,,,,,,,0,,0,,,121.161,-0.6719,3,3,63.32
N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,TOX26989,0,0,,0,0,0,0,0,0,0,0,0,204.229,1.1223,3,2,79.11
CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,TOX22297,0,0,1,,,0,0,,0,0,,0,333.394,3.30752,0,7,56.71
CC(C)(C)NC(N)=O,TOX24365,0,0,0,0,0,0,0,0,0,0,0,0,116.164,0.4532,2,1,55.12
CCCCCCCCCCCC[N+](C)(C)C,TOX6900,0,,0,1,,0,,1,0,0,0,,228.444,4.6135,0,0,0
CC(C)c1ccc(O)cc1,TOX22299,0,0,0,0,,0,0,0,0,0,,0,136.194,2.5156,1,1,20.23
Cc1cccc(N)c1N,TOX7494,0,0,1,0,,0,0,1,0,0,1,0,122.171,1.15942,2,2,52.04
